date,close,ma200,ahr999,quantile5y,windowKind
2017-08-17,4285.08,,,,insufficient_samples
2017-08-18,4108.37,,,,insufficient_samples
2017-08-19,4139.98,,,,insufficient_samples
2017-08-20,4086.29,,,,insufficient_samples
2017-08-21,4016,,,,insufficient_samples
2017-08-22,4040,,,,insufficient_samples
2017-08-23,4114.01,,,,insufficient_samples
2017-08-24,4316.01,,,,insufficient_samples
2017-08-25,4280.68,,,,insufficient_samples
2017-08-26,4337.44,,,,insufficient_samples
2017-08-27,4310.01,,,,insufficient_samples
2017-08-28,4386.69,,,,insufficient_samples
2017-08-29,4587.48,,,,insufficient_samples
2017-08-30,4555.14,,,,insufficient_samples
2017-08-31,4724.89,,,,insufficient_samples
2017-09-01,4834.91,,,,insufficient_samples
2017-09-02,4472.14,,,,insufficient_samples
2017-09-03,4509.08,,,,insufficient_samples
2017-09-04,4100.11,,,,insufficient_samples
2017-09-05,4366.47,,,,insufficient_samples
2017-09-06,4619.77,,,,insufficient_samples
2017-09-07,4691.61,,,,insufficient_samples
2017-09-08,4282.8,,,,insufficient_samples
2017-09-09,4258.81,,,,insufficient_samples
2017-09-10,4130.37,,,,insufficient_samples
2017-09-11,4208.47,,,,insufficient_samples
2017-09-12,4163.72,,,,insufficient_samples
2017-09-13,3944.69,,,,insufficient_samples
2017-09-14,3189.02,,,,insufficient_samples
2017-09-15,3700,,,,insufficient_samples
2017-09-16,3714.95,,,,insufficient_samples
2017-09-17,3699.99,,,,insufficient_samples
2017-09-18,4035.01,,,,insufficient_samples
2017-09-19,3910.04,,,,insufficient_samples
2017-09-20,3900,,,,insufficient_samples
2017-09-21,3609.99,,,,insufficient_samples
2017-09-22,3595.87,,,,insufficient_samples
2017-09-23,3780,,,,insufficient_samples
2017-09-24,3660.02,,,,insufficient_samples
2017-09-25,3920.75,,,,insufficient_samples
2017-09-26,3882.35,,,,insufficient_samples
2017-09-27,4193,,,,insufficient_samples
2017-09-28,4174.5,,,,insufficient_samples
2017-09-29,4174.69,,,,insufficient_samples
2017-09-30,4378.51,,,,insufficient_samples
2017-10-01,4378.48,,,,insufficient_samples
2017-10-02,4380,,,,insufficient_samples
2017-10-03,4310,,,,insufficient_samples
2017-10-04,4208.59,,,,insufficient_samples
2017-10-05,4292.43,,,,insufficient_samples
2017-10-06,4369,,,,insufficient_samples
2017-10-07,4423,,,,insufficient_samples
2017-10-08,4640,,,,insufficient_samples
2017-10-09,4786.95,,,,insufficient_samples
2017-10-10,4783.06,,,,insufficient_samples
2017-10-11,4821.43,,,,insufficient_samples
2017-10-12,5430,,,,insufficient_samples
2017-10-13,5649.98,,,,insufficient_samples
2017-10-14,5869.99,,,,insufficient_samples
2017-10-15,5709.99,,,,insufficient_samples
2017-10-16,5760.02,,,,insufficient_samples
2017-10-17,5595,,,,insufficient_samples
2017-10-18,5512.06,,,,insufficient_samples
2017-10-19,5683.9,,,,insufficient_samples
2017-10-20,6010.01,,,,insufficient_samples
2017-10-21,6024.97,,,,insufficient_samples
2017-10-22,5950.02,,,,insufficient_samples
2017-10-23,5915.93,,,,insufficient_samples
2017-10-24,5477.03,,,,insufficient_samples
2017-10-25,5689.99,,,,insufficient_samples
2017-10-26,5861.77,,,,insufficient_samples
2017-10-27,5768.83,,,,insufficient_samples
2017-10-28,5719.64,,,,insufficient_samples
2017-10-29,6169.98,,,,insufficient_samples
2017-10-30,6120.5,,,,insufficient_samples
